simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7799	def1	D	F	1	0	0.259965433580649	0.263326047840215	0.253162843222471	0.264747192728658
sim7799	def1	D	F	1	0.005	0.20291138439752	0.263109472992025	0.250680043894147	0.263572625436024
sim7799	def1	D	F	1	0.01	0.178431355166951	0.254911870913538	0.247563169857251	0.263775577800962
sim7799	def1	D	F	1	0.05	0.0963557111679512	0.0894859495134618	0.13496539335034	0.269197143122907
sim7799	def1	D	F	1	0.1	0.0723402012853623	0.0706108096038429	0.105109777769544	0.247365533307225
sim7799	def1	D	F	1	0.2	0.014423352442281	0.00441309254108458	0.0914420769827316	0.173560938263669
sim7799	def1	D	O	2	0	0.125182611970321	0.125989920731295	0.124502710091044	0.126277176076264
sim7799	def1	D	O	2	0.005	0.124876632811625	0.124892697342626	0.123313705575414	0.126177139498966
sim7799	def1	D	O	2	0.01	0.120365366563527	0.120226227690105	0.119441468197846	0.126101541813317
sim7799	def1	D	O	2	0.05	0.0124346961557982	0.00548628197591829	0.0118637532094601	0.124710198159037
sim7799	def1	D	O	2	0.1	0.000716160837929078	NA	0.00117213089073663	0.109420646820145
sim7799	def1	D	O	2	0.2	NA	NA	NA	0.102700122729511
sim7799	def1	D	S	0	0	0.00193595139787321	NA	NA	NA
sim7799	def1	D	S	0	0.005	0.00193595139787321	NA	NA	NA
sim7799	def1	D	S	0	0.01	0.0019053406355208	NA	NA	NA
sim7799	def1	D	S	0	0.05	NA	NA	NA	NA
sim7799	def1	D	S	0	0.1	NA	NA	NA	NA
sim7799	def1	D	S	0	0.2	NA	NA	NA	0.000697073518249202
sim7799	def1	D	T	3	0	0.0540773200524154	0.0516297187838917	0.0534035516520546	0.0538497131243168
sim7799	def1	D	T	3	0.005	0.0540055712737498	0.0515305776385783	0.0511654944099169	0.0538740401412543
sim7799	def1	D	T	3	0.01	0.0500402973925141	0.049180018735366	0.0485100279305466	0.0534644207887916
sim7799	def1	D	T	3	0.05	0.00595082781596878	0.00168543421402617	0.00618204617786781	0.0477214086738982
sim7799	def1	D	T	3	0.1	NA	NA	NA	0.0466861489353458
sim7799	def1	D	T	3	0.2	NA	NA	NA	0.0433397170537423
sim7799	def1	D	U	4	0	0.0454805044461989	0.0454327370715243	0.0450959121962101	0.0470179211213626
sim7799	def1	D	U	4	0.005	0.0451683911137118	0.0435250908441328	0.0444991620644946	0.0462393575598194
sim7799	def1	D	U	4	0.01	0.0411079564121881	0.0406266846079654	0.0401373408869957	0.0467425390012571
sim7799	def1	D	U	4	0.05	0.00622879035060466	0.0037909892372793	0.0069019742750877	0.0433433544584578
sim7799	def1	D	U	4	0.1	0.000804474109425402	NA	0.000468148327348427	0.0377546928770353
sim7799	def1	D	U	4	0.2	NA	NA	NA	0.0358795968052786
sim7799	def1	F	S	0	0	0.00268794523670357	0.000461083630437562	NA	NA
sim7799	def1	F	S	0	0.005	0.00268794523670357	0.000461083630437562	NA	NA
sim7799	def1	F	S	0	0.01	0.00268794523670357	0.000458417051533479	NA	NA
sim7799	def1	F	S	0	0.05	0.000623538652873349	NA	NA	NA
sim7799	def1	F	S	0	0.1	NA	NA	NA	NA
sim7799	def1	F	S	0	0.2	NA	NA	NA	0.000652996098134933
